,Tracking,Tracking validity,Fetching status,Weight Charged,Status
217,2138018470,Valid,Success,1.54 Kilograms,Delivered - Signed for by DOMONIC GREE
218,952145418850,Valid,Success,1.7 LB,
219,952145418860,Valid,Success,2.2 LB,
220,952144596368,Valid,Success,2.3 LB,
221,952144596427,Valid,Success,2.3 LB,
222,952144596416,Valid,Success,2.4 LB,
223,952144596405,Valid,Success,2.4 LB,
224,2138019251,Valid,Success,1.84 Kilograms,Delivered - Signed for by M SPACE
225,2138019085,Valid,Success,1.58 Kilograms,Returned to shipper
226,952144597217,Valid,Success,0.5 KG,
227,952144597206,Valid,Success,2.7 LB,
228,952144597158,Valid,Success,1.0 LB,
229,952144597147,Valid,Success,0.5 KG,
230,952144597136,Valid,Success,1.0 LB,
231,952144597228,Valid,Success,1.0 LB,
232,952144597169,Valid,Success,2.0 LB,
233,952144597170,Valid,Success,1.3 LB,
234,2138019520,Valid,Success,0.86 Kilograms,Delivered - Signed for by SØREN RUDOW
235,952144598040,Valid,Success,2.1 LB,
236,952144598051,Valid,Success,1.4 LB,
237,2138019564,Valid,Success,2.94 Kilograms,Forwarded for delivery
238,2138019542,Valid,Success,4.16 Kilograms,Delivered - Signed for by
239,2138019796,Valid,Success,1.6 Kilograms,Processed at SYDNEY-AUS
